Genome, Fitness, Wins (O), Losses (O), Draws (O)
344241875448556077544134286411211525641355675307403856554342656632278348234445484284668657447775632256737731555778385283538832668627285328267554585415202574004202574586364848465827472667564657644827462778875661688768120761882518063452671368142465185735478453888674447775842767454821765735311461626268275786663258564778543876575560770728685684687845655774856878458765427258487887774775626822578626464668588227755885727722661227781854888555645265862471711871134578857588783674673665435854554381682854713811813655666566855674824467666607050472866578885676864484857147757618447476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566832565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.009248554913294798, 557, 8, 300
344241875448556077544134286411211525641355675307403856554342656632278348234445484284668657447775632256737731555778385283538832668627285328267554585415202574004202574586364848465827472667564657644827462778875661688768120761882518063452671368142465185735478453888674447775842767454821765735311461626268275786663258564778543876575560770728685684687845655774856878458765427258487887774775626822578626464668588227755885727722661227781854888555645265862471711871134578857588783674673665435854554381682854713811813655666566855674824467666607050472866578885676864484857147757618447476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566832565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.009248554913294798, 557, 8, 300
344241875445556077544167286411211525641255675307403856554342656632278348234445484284668657447775632256737731555778385283538832668627285328667554585415202574004202574586364848465827472667564657644827462778875661658768120761842518063152671368142565135735448453888664447775842767454821765735311461626268272786673258564778243876575560770728685684687845655734856838458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711871134578857588783674673665435854554381682854713811813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.010404624277456647, 553, 9, 303
344241875445556077544167286411211525641255675307403856554342656632278348234445484284668657447775632256737731555778385283538832668627285328667554585415202574004202574586364848465827472667564657644827462778875661658768120761842518063152671368142565135735448453888664447775842767454821765735311461626268272786673258564778243876575560770728685684687845655734856838458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711871134578857588783674673665435854554381682854713811813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.010404624277456647, 553, 9, 303
344243875445556077544167284411211525641255675307403856554342656632278348234445484284668657447775632256737731558778385283538832668627285328667554585415202574004202574586364848465827472667564657644827462768875661658768120761842518063152671368142565135735448453888664447775842767454823765735311461626268272786673258564778243886575560770728685684687845655734856838458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711671134578857588783674473665435854554381622854713811813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.010404624277456647, 553, 9, 303
344241875448556077544164286411211525641355675307403856554342656632278348234445484284668657447775632256737731555778385283538872668627285328667554585415202574004202574586364848465827472667564657644827462778875661658768120761842518063152671368142565135735448453888664447775842767454821765735311461626268272786673258564778243876575560770728685684687845655774856838458765427258487887774775626822578626464668588227755585727722661227785854888555645265862471711871134578857588783674673665435854554381682854711811813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.010404624277456647, 553, 9, 303
344243875445556077544167284411211525641255675307403856554342656632278348234445484284668657447775632256737731558778385283538832668627285328667554585415202574004202574586364848465827472667564657644827462768875661658768120761842518063152671368142565135735448453888664447775842767454823765735311461626268272786673258564778243886575560770728685684687845655734856838458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711671134578857588783674473665435854554381622854713811813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.010404624277456647, 553, 9, 303
344241875448556077544164286411211525641355675307403856554342656632278348234445484284668657447775632256737731555778385283538872668627285328667554585415202574004202574586364848465827472667564657644827462778875661658768120761842518063152671368142565135735448453888664447775842767454821765735311461626268272786673258564778243876575560770728685684687845655774856838458765427258487887774775626822578626464668588227755585727722661227785854888555645265862471711871134578857588783674673665435854554381682854711811813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.010404624277456647, 553, 9, 303
344241875448556077544167286411211525641355675307403856554342656632278348234445484284668657447775632256737731555778385283538832668627285322667554585415202574604202574586364848465827472667564657644827462778875661688768120761842518063152671368142565135735448453888674447775842767454321765735311461621268272786663258564778543876575560770728685684687845655734856878458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711871134578857588785674673665435854554381182854713811813655666566855674824467666607050472866578885676864444857147757618447475337582875677757827848452604077746552888738686528488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.011534025374855825, 552, 10, 305
344241875448556077544164286411211525641355675307403856554342656632278348284445484284668657447775632256737731555778385283538832668627285328267554585415202574004202575586364848465827472667564657644827462778875661658768120761842518063452671368142465185735448453888664447775842767454821765735311461626268275786663258564778243876575560770728685684687845655774856838458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711871134578857588783674673665435854554381682854713811813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.011560693641618497, 552, 10, 303
