Genome, Fitness, Wins (O), Losses (O), Draws (O)
344241875446556077544164286411211525641355675307403856554342856632278348234445484284668657447775632256737831555771387283538832668627285322667554585415202574004202574586364848468827475662564668644847462778875661678876860761842518063152671368142465185735448453888674447775848787444821765735311461626268275786663258564778243876575560770728686576687845855774857838448765427258467887772775666822578626464668588227755585227722661227781854888555645265862471711871134578857588783674673665434854554381682854713811813755263526855674824467666607050472866578885676864444857117757618457476337582885682757827848452604077746552888738686524488578685358576173528511446463655866573887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.006936416184971098, 552, 6, 307
344241875448556077544134286811211525641355675307403806674342656632278348844445484288668657447775632256737731555771387283538832668624285358267554565415202574000202574586364848465827472662564668644847462778878661678876860761842518063452671368142465183735448453888674447775848787444821765735311461686268275746663258564778723076575530770728685684687845655774856878458765427258487887774775626822578626464668588227755585227722651237181854888555645265862471711871134578857588783674673665435854554381682854713811813755263526855674824467666607050422866578885686864484857147757618457476337582875677757827848452604077746552888738686524488578685358576173521511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.006936416184971098, 512, 6, 347
344241875446556077544144286411211525641355675804403856584342656632278348284445484282468657447775732256333731555778385283538832668626285328267554585415202574004202574586364845465827472662564667644827462778875661678868120761842518063452671368142465183735478453888674447735842767454821765735311451626268275786763258564776723076575530770728786684687845655774856878458765427258487887774775626822578626464668588227755585727722661227781854888555645265862476711871134578857588783674677665435853554381682854713811813655666566855674824467666607050472866578885676864444857117757618447476337582885682757827848452604077746552888738686524488578685358576173528511446463658866573887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.006936416184971098, 568, 6, 291
344241875446556077544164286411211525641355675307403856554342856632278348234445484284668657447775632256737831555771387283538832668627285322667554585415202574004202574586364848468827475662564668644847462778875661678876860761842518063152671368142465185735448453888674447775848787444821765735311461626268275786663258564778243876575560770728686576687845855774857838448765427258467887772775666822578626464668588227755585227722661227781854888555645265862471711871134578857588783674673665434854554381682854713811813755263526855674824467666607050472866578885676864444857117757618457476337582885682757827848452604077746552888738686524488578685358576173528511446463655866573887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.006936416184971098, 552, 6, 307
344241875448556077544134286811211525641355675307403806674342656632278348844445484288668657447775632256737731555771387283538832668624285358267554565415202574000202574586364848465827472662564668644847462778878661678876860761842518063452671368142465183735448453888674447775848787444821765735311461686268275746663258564778723076575530770728685684687845655774856878458765427258487887774775626822578626464668588227755585227722651237181854888555645265862471711871134578857588783674673665435854554381682854713811813755263526855674824467666607050422866578885686864484857147757618457476337582875677757827848452604077746552888738686524488578685358576173521511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.006936416184971098, 512, 6, 347
344241875446556077544144286411211525641355675804403856584342656632278348284445484282468657447775732256333731555778385283538832668626285328267554585415202574004202574586364845465827472662564667644827462778875661678868120761842518063452671368142465183735478453888674447735842767454821765735311451626268275786763258564776723076575530770728786684687845655774856878458765427258487887774775626822578626464668588227755585727722661227781854888555645265862476711871134578857588783674677665435853554381682854713811813655666566855674824467666607050472866578885676864444857117757618447476337582885682757827848452604077746552888738686524488578685358576173528511446463658866573887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.006936416184971098, 568, 6, 291
344241875448556077544167486411211525641355675307403856554342656632278348234445484284668657447775632456737731555778385283538832668627285328667554585415202574004202574586364848465824472667564657644827462778875661658768120761842518063152671368142565135735448453888674447775842767454821765735311461621268272786673258564778243876575560772728685684687845655774856838458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711871134578857588783674673665435854554381682854711811813655666566855674824467666607050472866576885676864444857147757618457476337582875677757527848452604077746552888738686524488578685358576173528511446463655866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.008092485549132947, 553, 7, 305
344241875448556077544167486411211525641355675307403856554342656632278348234445484284668657447775632456737731555778385283538832668627285328667554585415202574004202574586364848465824472667564657644827462778875661658768120761842518063152671368142565135735448453888674447775842767454821765735311461621268272786673258564778243876575560772728685684687845655774856838458765427258487887774775626822578626464668588227755585727722661227781854888555645265862471711871134578857588783674673665435854554381682854711811813655666566855674824467666607050472866576885676864444857147757618457476337582875677757527848452604077746552888738686524488578685358576173528511446463655866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.008092485549132947, 553, 7, 305
344241875445556045584174287318211328641355674307403856554342656632278578234445484284668657447775632256737131555738375283538872368627255328647554585415202574004202575586364848465827472667564657644827462768875661658762160761842518063152671318142565135735448457688654767725842767454823765735311461626268272786673258564772243886575560770728688784487845655734856838458765327278487887772425628822778626464778588266755175827722661227781856888555645265862474171671134578857588783374673665435854554381682854713811813755666566855674824467666607050472866578885676864444857147757618457476337582875677657827878452604077746552888738686524488578685378576172528511446463658266773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.008130081300813009, 551, 7, 303
344241875448556077544134286411211525641355675307403856554342656632278348234445484284668657447775632256737731555778385283538832668627285328267554585415202574004202574586364848465827472667564657644827462778875661688768120761882518063452671368142465185735478453888674447775842767454821765735311461626268275786663258564778543876575560770728685684687845655774856878458765427258487887774775626822578626464668588227755885727722661227781854888555645265862471711871134578857588783674673665435854554381682854713811813655666566855674824467666607050472866578885676864484857147757618447476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566832565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.009248554913294798, 557, 8, 300
